Time,Process parameter 1,Process parameter 2,Process parameter 3,Process parameter 4
2022/3/30 8:30,1.25,3.09,255.71,150.22
2022/3/30 11:30,1.25,3.09,251.42,149.61
2022/3/30 14:30,1.25,3.09,258.57,152.68
2022/3/30 17:30,1.25,3.09,252.85,155.76
2022/3/30 20:30,1.25,3.09,265.79,161.96
2022/3/30 23:30,1.25,3.09,277.45,149.61
2022/3/31 2:30,1.25,3.09,278.92,143.5
2022/3/31 5:30,1.25,3.09,278.92,145.94
2022/3/31 8:30,1.25,3.09,286.29,140.46
2022/3/31 11:30,1.25,3.09,287.78,141.68
2022/3/31 14:30,1.25,3.09,296.71,141.07
2022/3/31 17:30,1.25,3.09,289.26,145.94
2022/3/31 20:30,1.25,3.09,286.29,138.05
2022/3/31 23:30,1.25,3.09,283.34,139.25
2022/4/1 2:30,1.25,3.09,277.45,140.46
2022/4/1 5:30,1.25,3.09,280.39,145.33
2022/4/1 8:30,1.25,3.09,274.52,141.07
2022/4/1 11:30,1.25,3.09,260.01,160.71
2022/4/1 14:30,1.25,3.09,250,164.45
2022/4/1 17:30,1.25,3.09,267.24,157.61
2022/4/1 20:30,1.25,3.09,281.86,144.11
2022/4/1 23:30,1.25,3.09,262.9,154.52
2022/4/2 2:30,1.25,3.09,277.45,144.72
2022/4/2 5:30,1.25,3.09,265.79,147.77
2022/4/2 8:30,1.25,3.09,296.34,140.62
2022/4/2 11:30,1.25,3.09,287.78,144.11
2022/4/2 14:30,1.25,3.09,270.14,145.33
2022/4/2 17:30,1.25,3.09,275.99,145.94
2022/4/2 20:30,1.25,3.09,293.73,134.43
2022/4/2 23:30,1.25,3.09,274.52,150.83
2022/4/3 2:30,1.25,3.09,274.52,151.45
2022/4/3 5:30,1.25,3.09,275.99,144.72
2022/4/3 8:30,1.25,3.09,284.81,141.07
2022/4/3 11:30,1.25,3.09,270.14,149.61
2022/4/3 14:30,1.25,3.09,283.34,155.76
2022/4/3 17:30,1.25,3.09,280.39,156.38
2022/4/3 20:30,1.25,3.09,270.51,139.1
2022/4/3 23:30,1.25,3.09,274.52,143.5
2022/4/4 2:30,1.25,3.09,288.27,141.88
2022/4/4 5:30,1.25,3.09,283.34,152.06
2022/4/4 8:30,1.25,3.09,289.26,140.46
2022/4/4 11:30,1.25,3.09,274.52,137.44
2022/4/4 14:30,1.25,3.09,281.86,138.05
2022/4/4 17:30,1.25,3.09,275.99,145.33
2022/4/4 20:30,1.25,3.09,278.92,144.11
2022/4/4 23:30,1.25,3.09,277.45,143.5
2022/4/5 2:30,1.25,3.09,290.75,146.55
2022/4/5 5:30,1.25,3.09,275.99,149.61
2022/4/5 8:30,1.25,3.09,272.33,151.29
2022/4/5 11:30,1.25,3.09,286.29,135.03
2022/4/5 17:30,1.25,3.09,289.26,146.55
2022/4/5 20:30,1.25,3.09,309.51,158.23
2022/4/5 23:30,1.25,3.09,294.47,165.23
2022/4/6 2:30,1.25,3.09,298.21,158.23
2022/4/6 5:30,1.25,3.09,301.96,162.11
2022/4/6 8:30,1.25,3.09,305.73,154.37
2022/4/6 11:30,1.25,3.09,305.73,147.46
2022/4/6 14:30,1.25,3.09,298.21,148.23
2022/4/6 17:30,1.25,3.09,292.61,148.23
2022/4/6 20:30,1.25,3.09,287.78,152.06
2022/4/6 23:30,1.25,3.09,283.34,148.23
2022/4/7 2:30,1.25,3.09,285.18,145.94
2022/4/7 5:30,1.25,3.09,292.61,146.7
2022/4/7 8:30,1.25,3.09,292.61,148.23
2022/4/7 11:30,1.25,3.09,301.96,145.94
2022/4/7 14:30,1.25,3.09,310.78,139.86
2022/4/7 15:06,1.25,3.09,268.69,145.94
2022/4/7 17:30,1.25,3.09,303.85,144.41
2022/4/7 20:30,1.25,3.09,313.31,172.28
2022/4/7 23:30,1.25,3.09,298.21,142.13
2022/4/8 2:30,1.25,3.09,319.02,151.29
2022/4/8 5:30,1.25,3.09,333.77,145.94
2022/4/8 8:30,1.25,3.09,331.19,138.85
2022/4/8 11:30,1.25,3.09,307.62,136.84
2022/4/8 14:30,1.25,3.09,292.61,152.06
2022/4/8 17:30,1.25,3.09,315.84,133.83
2022/4/8 20:30,1.25,3.09,324.77,132.33
2022/4/8 23:30,1.25,3.09,300.09,137.59
2022/4/9 2:30,1.25,3.09,315.21,138.35
2022/4/9 5:30,1.25,3.09,305.73,145.17
2022/4/9 8:30,1.25,3.09,268.69,168.35
2022/4/9 11:30,1.25,3.09,281.49,145.17
2022/4/9 14:30,1.25,3.09,277.82,143.65
2022/4/9 17:30,1.25,3.09,285.18,148.23
2022/4/9 20:30,1.25,3.09,226.16,177.01
2022/4/9 21:03,1.25,3.09,290.75,164.45
2022/4/9 23:30,1.25,3.09,283.34,166.79
2022/4/10 2:30,1.25,3.09,290.75,160.56
2022/4/10 5:30,1.25,3.09,301.96,155.91
2022/4/10 8:30,1.25,3.09,288.89,140.62
2022/4/10 11:30,1.25,3.09,283.34,148.99
2022/4/10 14:30,1.25,3.09,266.88,165.23
2022/4/10 17:30,1.25,3.09,265.06,159.01
2022/4/10 20:30,1.25,3.09,261.45,155.91
2022/4/10 23:30,1.25,3.09,268.69,159.01
2022/4/11 2:30,1.25,3.09,257.86,157.46
2022/4/11 5:30,1.25,3.09,268.69,156.68
2022/4/11 8:30,1.25,3.09,256.06,153.6
2022/4/11 11:30,1.25,3.09,275.99,152.83
2022/4/11 14:30,1.25,3.09,288.89,159.78
2022/4/11 17:30,1.25,3.09,287.04,156.68
2022/4/11 20:30,1.25,3.09,270.51,160.56
2022/4/11 23:30,1.25,3.09,247.16,166.01
